WaveLength,Module1,Min%, Max%, Modue2,Min%, Max%
649,639.8500,-5.00,5.00,999.1028,-5.00,5.00,
650,639.3121,-5.00,5.00,998.2194,-5.00,5.00,
651,636.2728,-5.00,5.00,996.7217,-5.00,5.00,
652,634.5913,-5.00,5.00,995.3230,-5.00,5.00,
653,633.5150,-5.00,5.00,992.3744,-5.00,5.00,
654,633.3998,-5.00,5.00,991.7224,-5.00,5.00,
655,630.8789,-5.00,5.00,990.3093,-5.00,5.00,
656,628.6631,-5.00,5.00,986.3254,-5.00,5.00,
657,625.1605,-5.00,5.00,977.2078,-5.00,5.00,
658,620.5910,-5.00,5.00,968.6418,-5.00,5.00,
659,608.6277,-5.00,5.00,959.1047,-5.00,5.00,
660,601.9698,-5.00,5.00,948.9982,-5.00,5.00,
661,595.0667,-5.00,5.00,927.0844,-5.00,5.00,
662,588.7168,-5.00,5.00,916.7020,-5.00,5.00,
663,577.1320,-5.00,5.00,907.7336,-5.00,5.00,
664,573.9504,-5.00,5.00,901.0538,-5.00,5.00,
665,572.0195,-5.00,5.00,897.3489,-5.00,5.00,
666,571.3972,-5.00,5.00,897.5430,-5.00,5.00,
667,575.1531,-5.00,5.00,901.6168,-5.00,5.00,
668,577.2923,-5.00,5.00,906.0071,-5.00,5.00,
669,580.9544,-5.00,5.00,920.5724,-5.00,5.00,
670,585.5428,-5.00,5.00,928.3240,-5.00,5.00,
671,586.7163,-5.00,5.00,931.5512,-5.00,5.00,
672,586.7932,-5.00,5.00,934.8064,-5.00,5.00,
673,585.5845,-5.00,5.00,932.7292,-5.00,5.00,
674,580.9738,-5.00,5.00,929.5874,-5.00,5.00,
675,578.9022,-5.00,5.00,924.0082,-5.00,5.00,
676,577.5970,-5.00,5.00,913.6512,-5.00,5.00,
677,574.2262,-5.00,5.00,908.9258,-5.00,5.00,
678,568.7764,-5.00,5.00,903.0219,-5.00,5.00,
679,565.2988,-5.00,5.00,897.5005,-5.00,5.00,
680,562.0101,-5.00,5.00,886.8387,-5.00,5.00,
681,557.8514,-5.00,5.00,879.7343,-5.00,5.00,
682,548.3766,-5.00,5.00,873.9399,-5.00,5.00,
683,542.2831,-5.00,5.00,865.5500,-5.00,5.00,
684,535.1996,-5.00,5.00,843.4597,-5.00,5.00,
685,526.4924,-5.00,5.00,829.5955,-5.00,5.00,
686,509.4784,-5.00,5.00,816.0017,-5.00,5.00,
687,501.5707,-5.00,5.00,803.4517,-5.00,5.00,
688,494.9921,-5.00,5.00,782.4606,-5.00,5.00,
689,490.0523,-5.00,5.00,775.3937,-5.00,5.00,
690,483.1367,-5.00,5.00,768.6852,-5.00,5.00,
691,481.0134,-5.00,5.00,766.3224,-5.00,5.00,
692,481.1132,-5.00,5.00,765.3044,-5.00,5.00,
693,484.7709,-5.00,5.00,769.5706,-5.00,5.00,
694,488.0132,-5.00,5.00,774.2765,-5.00,5.00,
695,491.9756,-5.00,5.00,779.4409,-5.00,5.00,
696,496.0211,-5.00,5.00,792.1976,-5.00,5.00,
697,503.7053,-5.00,5.00,799.3118,-5.00,5.00,
698,506.2256,-5.00,5.00,804.4901,-5.00,5.00,
699,506.7977,-5.00,5.00,807.1976,-5.00,5.00,
700,505.8880,-5.00,5.00,803.8452,-5.00,5.00,
701,497.1111,-5.00,5.00,797.9365,-5.00,5.00,
