WaveLength,Module1,Min%, Max%, Modue2,Min%, Max%
775,304.8617,-5.00,5.00,251.1606,-5.00,5.00,
776,303.0087,-5.00,5.00,249.1297,-5.00,5.00,
777,301.0509,-5.00,5.00,247.6912,-5.00,5.00,
778,302.3046,-5.00,5.00,247.9349,-5.00,5.00,
779,305.5729,-5.00,5.00,253.8483,-5.00,5.00,
780,316.3308,-5.00,5.00,258.1766,-5.00,5.00,
781,321.6556,-5.00,5.00,262.8884,-5.00,5.00,
782,325.1660,-5.00,5.00,268.4649,-5.00,5.00,
783,326.3447,-5.00,5.00,270.0259,-5.00,5.00,
784,323.8042,-5.00,5.00,270.0188,-5.00,5.00,
785,321.4821,-5.00,5.00,268.7738,-5.00,5.00,
786,318.8174,-5.00,5.00,265.5269,-5.00,5.00,
787,315.7127,-5.00,5.00,263.9987,-5.00,5.00,
788,309.9751,-5.00,5.00,262.6902,-5.00,5.00,
789,307.7182,-5.00,5.00,258.2793,-5.00,5.00,
790,305.3184,-5.00,5.00,255.2697,-5.00,5.00,
791,300.1802,-5.00,5.00,253.2869,-5.00,5.00,
792,298.7339,-5.00,5.00,250.6135,-5.00,5.00,
793,296.6938,-5.00,5.00,244.5247,-5.00,5.00,
794,295.1292,-5.00,5.00,242.9066,-5.00,5.00,
795,291.3861,-5.00,5.00,241.4438,-5.00,5.00,
796,289.5475,-5.00,5.00,240.6239,-5.00,5.00,
797,288.5819,-5.00,5.00,237.9727,-5.00,5.00,
798,284.8495,-5.00,5.00,235.8497,-5.00,5.00,
799,283.6623,-5.00,5.00,234.9268,-5.00,5.00,
800,282.8819,-5.00,5.00,233.3846,-5.00,5.00,
801,281.8492,-5.00,5.00,231.2108,-5.00,5.00,
802,279.6006,-5.00,5.00,229.1606,-5.00,5.00,
803,278.2180,-5.00,5.00,227.5494,-5.00,5.00,
804,276.9733,-5.00,5.00,226.3350,-5.00,5.00,
805,275.2858,-5.00,5.00,225.0704,-5.00,5.00,
806,273.0769,-5.00,5.00,223.5442,-5.00,5.00,
807,271.5511,-5.00,5.00,221.5326,-5.00,5.00,
808,269.9798,-5.00,5.00,221.6563,-5.00,5.00,
809,266.7679,-5.00,5.00,220.5742,-5.00,5.00,
810,265.8156,-5.00,5.00,218.9854,-5.00,5.00,
811,263.8482,-5.00,5.00,215.2572,-5.00,5.00,
812,262.8077,-5.00,5.00,214.3910,-5.00,5.00,
813,259.5363,-5.00,5.00,213.0677,-5.00,5.00,
814,257.9857,-5.00,5.00,209.6110,-5.00,5.00,
815,256.1740,-5.00,5.00,209.1729,-5.00,5.00,
816,252.4144,-5.00,5.00,209.3872,-5.00,5.00,
817,250.3503,-5.00,5.00,209.9444,-5.00,5.00,
818,248.4781,-5.00,5.00,207.3297,-5.00,5.00,
819,246.8690,-5.00,5.00,204.8524,-5.00,5.00,
820,243.5219,-5.00,5.00,203.5826,-5.00,5.00,
821,241.4658,-5.00,5.00,202.2315,-5.00,5.00,
822,239.3665,-5.00,5.00,200.5683,-5.00,5.00,
823,237.1315,-5.00,5.00,197.6776,-5.00,5.00,
824,233.1351,-5.00,5.00,195.6365,-5.00,5.00,
