SerialNumber,Test Pass/Fail Status,errCode,errStr,TesterID,config,StartTime,EndTime,TestTime,INIT::TSTR_SW,INIT::LIGHT_SOURCE,INIT::SPECTROMETER,INIT::CG_SN,UNIF::INT_AVG,UNIF::INT_PCT_MAX,UNIF::INT_PCT_MIN,UNIF::INT_DRK_PXL_CNT_PCT,UNIF::INT_HOT_PXL_CNT_PCT,UNIF::EXT_PCT_MAX,UNIF::EXT_PCT_MIN,UNIF::LF_INT_PCT_MAX,UNIF::LF_INT_PCT_MIN,UNIF::LF_INT_DRK_PXL_CNT_PCT,UNIF::LF_INT_HOT_PXL_CNT_PCT,UNIF::LF_EXT_PCT_MAX,UNIF::LF_EXT_PCT_MIN,UNIF::HF_INT_PCT_MAX,UNIF::HF_INT_PCT_MIN,UNIF::HF_INT_DRK_PXL_CNT_PCT,UNIF::HF_INT_HOT_PXL_CNT_PCT,UNIF::HF_EXT_PCT_MAX,UNIF::HF_EXT_PCT_MIN,T::TP1_XPOS,T::TP1_YPOS,T::TP1_APOS,T::TP1_T_PCT_400,T::TP1_T_PCT_410,T::TP1_T_PCT_420,T::TP1_T_PCT_450,T::TP1_T_PCT_500,T::TP1_T_PCT_550,T::TP1_T_PCT_600,T::TP1_T_PCT_650,T::TP1_T_PCT_700,T::TP1_T_PCT_750,T::TP1_T_PCT_800,T::TP1_T_PCT_850,T::TP1_T_PCT_900,T::TP1_T_PCT_950,T::TP1_T_PCT_1000,T::TP1_T_PCT_1050,T::TP1_T_PCT_1100,T::TP1_TILT_400,T::TP1_TILT_450,T::TP1_TILT_500,T::TP1_TILT_550,T::TP1_TILT_600,T::TP1_TILT_650,T::TP1_TILT_700,T::TP1_TILT_750,T::TP1_TILT_800,T::TP1_TILT_850,T::TP1_TILT_900,T::TP1_TILT_950,T::TP1_TILT_1000,T::TP1_TILT_1050,T::TP1_TILT_1100,T::TP2_XPOS,T::TP2_YPOS,T::TP2_APOS,T::TP2_T_PCT_400,T::TP2_T_PCT_410,T::TP2_T_PCT_420,T::TP2_T_PCT_450,T::TP2_T_PCT_500,T::TP2_T_PCT_550,T::TP2_T_PCT_600,T::TP2_T_PCT_650,T::TP2_T_PCT_700,T::TP2_T_PCT_750,T::TP2_T_PCT_800,T::TP2_T_PCT_850,T::TP2_T_PCT_900,T::TP2_T_PCT_950,T::TP2_T_PCT_1000,T::TP2_T_PCT_1050,T::TP2_T_PCT_1100,T::TP2_TILT_400,T::TP2_TILT_450,T::TP2_TILT_500,T::TP2_TILT_550,T::TP2_TILT_600,T::TP2_TILT_650,T::TP2_TILT_700,T::TP2_TILT_750,T::TP2_TILT_800,T::TP2_TILT_850,T::TP2_TILT_900,T::TP2_TILT_950,T::TP2_TILT_1000,T::TP2_TILT_1050,T::TP2_TILT_1100,T::TP3_XPOS,T::TP3_YPOS,T::TP3_APOS,T::TP3_T_PCT_410,T::TP3_T_PCT_420,T::TP3_T_PCT_400,T::TP3_T_PCT_450,T::TP3_T_PCT_500,T::TP3_T_PCT_550,T::TP3_T_PCT_600,T::TP3_T_PCT_650,T::TP3_T_PCT_700,T::TP3_T_PCT_750,T::TP3_T_PCT_800,T::TP3_T_PCT_850,T::TP3_T_PCT_900,T::TP3_T_PCT_950,T::TP3_T_PCT_1000,T::TP3_T_PCT_1050,T::TP3_T_PCT_1100,T::TP3_TILT_400,T::TP3_TILT_450,T::TP3_TILT_500,T::TP3_TILT_550,T::TP3_TILT_600,T::TP3_TILT_650,T::TP3_TILT_700,T::TP3_TILT_750,T::TP3_TILT_800,T::TP3_TILT_850,T::TP3_TILT_900,T::TP3_TILT_950,T::TP3_TILT_1000,T::TP3_TILT_1050,T::TP3_TILT_1100,T::TP4_XPOS,T::TP4_YPOS,T::TP4_APOS,T::TP4_T_PCT_410,T::TP4_T_PCT_420,T::TP4_T_PCT_400,T::TP4_T_PCT_450,T::TP4_T_PCT_500,T::TP4_T_PCT_550,T::TP4_T_PCT_600,T::TP4_T_PCT_650,T::TP4_T_PCT_700,T::TP4_T_PCT_750,T::TP4_T_PCT_800,T::TP4_T_PCT_850,T::TP4_T_PCT_900,T::TP4_T_PCT_950,T::TP4_T_PCT_1000,T::TP4_T_PCT_1050,T::TP4_T_PCT_1100,T::TP4_TILT_400,T::TP4_TILT_450,T::TP4_TILT_500,T::TP4_TILT_550,T::TP4_TILT_600,T::TP4_TILT_650,T::TP4_TILT_700,T::TP4_TILT_750,T::TP4_TILT_800,T::TP4_TILT_850,T::TP4_TILT_900,T::TP4_TILT_950,T::TP4_TILT_1000,T::TP4_TILT_1050,T::TP4_TILT_1100,T::TP5_XPOS,T::TP5_YPOS,T::TP5_APOS,T::TP5_T_PCT_410,T::TP5_T_PCT_420,T::TP5_T_PCT_400,T::TP5_T_PCT_450,T::TP5_T_PCT_500,T::TP5_T_PCT_550,T::TP5_T_PCT_600,T::TP5_T_PCT_650,T::TP5_T_PCT_700,T::TP5_T_PCT_750,T::TP5_T_PCT_800,T::TP5_T_PCT_850,T::TP5_T_PCT_900,T::TP5_T_PCT_950,T::TP5_T_PCT_1000,T::TP5_T_PCT_1050,T::TP5_T_PCT_1100,T::TP5_TILT_400,T::TP5_TILT_450,T::TP5_TILT_500,T::TP5_TILT_550,T::TP5_TILT_600,T::TP5_TILT_650,T::TP5_TILT_700,T::TP5_TILT_750,T::TP5_TILT_800,T::TP5_TILT_850,T::TP5_TILT_900,T::TP5_TILT_950,T::TP5_TILT_1000,T::TP5_TILT_1050,T::TP5_TILT_1100,T::T_PCT_STDEV_400,T::T_PCT_STDEV_450,T::T_PCT_STDEV_500,T::T_PCT_STDEV_550,T::T_PCT_STDEV_600,T::T_PCT_STDEV_650,T::T_PCT_STDEV_700,T::T_PCT_STDEV_750,T::T_PCT_STDEV_800,T::T_PCT_STDEV_850,T::T_PCT_STDEV_900,T::T_PCT_STDEV_950,T::T_PCT_STDEV_1000,T::T_PCT_STDEV_1050,T::T_PCT_STDEV_1100,POST::FDR_POST_RESULT,POST::FDR_POST_TIME,POST::FDR_CONFIRM_RESULT,POST::FDR_CONFIRM_TIME
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270571HL9501,PASS,0,,Machine04A_golden,,10/8/2016 18:22,10/8/2016 18:22,7.091,Version 16.8.10.12,LS,CAS140,20363270571HL9502112651136790158079699795743,194.263443,30.750282,-55.730219,22.511139,23.617659,30.750282,-92.793292,28.176458,-34.624859,22.501417,20.252735,20.454985,-73.232226,13.898652,-51.476489,1.019036,0.471446,13.898652,-51.476489,1277.346436,974.761902,-0.003284,1.671818,1.819229,1.97196,2.370256,3.12984,3.964045,4.487351,5.326575,6.373445,8.865156,11.508398,13.369875,15.758477,17.958132,19.73394,21.18655,22.063782,42.174549,59.793865,78.955719,100,113.201309,134.372208,160.781342,223.63913,290.31955,337.278564,397.535248,453.025391,497.823273,534.467957,556.597595,1277.346436,974.761902,-0.003284,1.613675,1.745687,1.891493,2.297103,3.017808,3.852538,4.365409,5.181188,6.209525,8.663676,11.310773,13.15656,15.45695,17.676577,19.47048,20.871191,21.964642,41.886021,59.625702,78.33297,100,113.312546,134.487625,161.180099,224.882294,293.592743,341.503662,401.214691,458.829346,505.393555,541.751648,570.134277,1277.346436,974.761902,-0.003284,1.681439,1.827507,1.544023,2.200992,2.908038,3.691055,4.186781,4.994411,5.991359,8.384994,10.994668,12.849018,15.108698,17.261604,19.039183,20.459885,21.15967,41.831482,59.630436,78.786087,100,113.430473,135.311188,162.321014,227.170639,297.873291,348.112335,409.332764,467.660431,515.819519,554.309875,573.26886,1277.346436,974.761902,-0.003284,1.669851,1.788225,1.56148,2.165794,2.866352,3.635244,4.116908,4.911067,5.896212,8.235579,10.819198,12.631951,14.932852,17.083675,18.815208,20.242174,21.072811,42.953934,59.577667,78.848961,100,113.249825,135.095901,162.195755,226.548141,297.619537,347.485626,410.779846,469.945709,517.577576,556.831177,579.680725,1277.346436,974.761902,-0.003284,1.618557,1.746552,1.500564,2.105376,2.784018,3.520435,4.011898,4.780689,5.721074,8.041044,10.561533,12.396867,14.641974,16.805201,18.505112,19.911873,20.673756,42.624397,59.804417,79.081635,100,113.960289,135.798233,162.510437,228.410522,300.00647,352.140198,415.913818,477.361481,525.648438,565.608337,587.250061,0.066139,0.10565,0.134965,0.176189,0.191523,0.216793,0.257228,0.329678,0.378302,0.391269,0.437885,0.461459,0.49422,0.504286,0.602249,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270502HL950M,PASS,0,,Machine04A_golden,,10/8/2016 18:22,10/8/2016 18:22,7.063,Version 16.8.10.12,LS,CAS140,20363270502HL9502112651134764154081693776743,193.834929,31.039334,-44.282488,23.862291,22.933981,31.039334,-91.745554,30.523431,-32.416721,24.285135,21.692993,21.237179,-72.141244,13.929378,-36.113202,0.473066,0.466586,13.929378,-51.590289,1264.329102,976.024292,-0.002962,1.583177,1.712385,1.85447,2.262064,3.01914,3.862662,4.372077,5.23416,6.290542,8.764739,11.424492,13.314042,15.654433,17.885479,19.655239,21.121534,21.864197,40.986679,58.562298,78.16217,100,113.188187,135.506577,162.855118,226.909302,295.767334,344.685669,405.275787,463.035065,508.852203,546.812927,566.039612,1264.329102,976.024292,-0.002962,1.634855,1.754004,1.88279,2.294905,3.062704,3.911336,4.43199,5.286835,6.347506,8.851297,11.516182,13.39465,15.704342,17.990931,19.753878,21.211777,22.155264,41.797874,58.673168,78.303268,100,113.311401,135.166992,162.284866,226.298569,294.430908,342.457184,401.508392,459.968933,505.041687,542.315369,566.437256,1264.329102,976.024292,-0.002962,1.632469,1.757058,1.519508,2.120495,2.836558,3.6535,4.121808,4.949416,5.962567,8.347189,10.970915,12.807999,15.067431,17.253178,18.998899,20.453024,21.360474,41.590477,58.040092,77.639473,100,112.818062,135.470535,163.201523,228.471039,300.285065,350.567932,412.410889,472.236969,520.019165,559.820007,584.657837,1264.329102,976.024292,-0.002962,1.670066,1.809361,1.535825,2.180989,2.91154,3.726041,4.217515,5.052984,6.06786,8.468431,11.09041,12.955319,15.274488,17.43528,19.228735,20.634205,21.638445,41.218678,58.533688,78.140312,100,113.190231,135.612671,162.850052,227.276917,297.645935,347.696625,409.938812,467.93042,516.063416,553.78363,580.735535,1264.329102,976.024292,-0.002962,1.567926,1.678175,1.472028,2.050326,2.742849,3.519131,3.99781,4.793566,5.786388,8.133322,10.694692,12.525547,14.787041,16.986515,18.695307,20.131451,20.837833,41.829315,58.262276,77.941071,100,113.602188,136.214478,164.426605,231.117325,303.901489,355.927246,420.190094,482.690582,531.247803,572.057373,592.130066,0.062264,0.100349,0.130826,0.158676,0.178006,0.203097,0.232073,0.296417,0.336078,0.359978,0.389535,0.423632,0.443834,0.454874,0.503421,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270570HL9502,PASS,0,,Machine04A_golden,,10/8/2016 18:23,10/8/2016 18:23,7.063,Version 16.8.10.12,LS,CAS140,20363270570HL9502112651140783160080716802743,193.820689,31.048962,-50.985625,24.359659,23.701902,31.048962,-91.229006,30.533021,-33.443638,24.199272,23.313084,25.889554,-69.043552,13.930401,-48.498435,0.479546,0.706359,13.930401,-51.594079,1283.020386,968.293823,-0.001733,1.488842,1.624356,1.766347,2.147199,2.872065,3.673326,4.165865,4.983521,6.002638,8.427929,11.02003,12.839236,15.137114,17.338095,19.074459,20.485033,21.334511,40.531162,58.453812,78.187042,100,113.408539,135.667831,163.411545,229.435944,300.001465,349.526245,412.082001,471.999939,519.269531,557.669983,580.795532,1283.020386,968.293823,-0.001733,1.482822,1.609191,1.749317,2.115857,2.831651,3.621039,4.115851,4.908006,5.919515,8.309233,10.907855,12.718934,14.952586,17.177467,18.923317,20.339876,21.017712,40.950195,58.432316,78.199974,100,113.664917,135.541367,163.475586,229.470963,301.235504,351.250946,412.93634,474.379547,522.593567,561.713867,580.433167,1283.020386,968.293823,-0.001733,1.575765,1.708538,1.452337,2.06868,2.757555,3.541326,3.996213,4.776524,5.782233,8.125023,10.704281,12.533657,14.726454,16.878679,18.620403,20.041653,20.723654,41.011105,58.415413,77.867859,100,112.8451,134.879532,163.278748,229.434464,302.267578,353.925507,415.845734,476.6203,525.803101,565.93634,585.194702,1283.020386,968.293823,-0.001733,1.618175,1.757769,1.483241,2.132833,2.836513,3.616699,4.092806,4.899143,5.888064,8.258114,10.843225,12.667208,14.968225,17.081726,18.876511,20.238211,21.097691,41.010902,58.971817,78.428238,100,113.164139,135.458969,162.802185,228.332932,299.810028,350.242249,413.864319,472.301575,521.926575,559.576904,583.341125,1283.020386,968.293823,-0.001733,1.504852,1.632462,1.391206,1.969895,2.620579,3.358487,3.805285,4.558886,5.510993,7.788013,10.26767,12.030103,14.243583,16.410128,18.048962,19.487274,20.175489,41.423584,58.654247,78.028542,100,113.303528,135.742233,164.091553,231.890518,305.723083,358.200043,424.107117,488.616669,537.413452,580.239685,600.731445,0.040877,0.071774,0.100236,0.123203,0.142546,0.166345,0.190264,0.245425,0.292082,0.314717,0.346439,0.357965,0.403439,0.387955,0.445307,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270571HL9501,PASS,0,,Machine04A_golden,,10/8/2016 18:23,10/8/2016 18:23,7.079,Version 16.8.10.12,LS,CAS140,20363270571HL9502112651136790158079699795743,192.950928,31.639689,-54.392549,23.719725,25.015795,31.639689,-92.744269,29.048356,-35.734955,23.612799,21.934387,20.756092,-74.604942,13.993195,-51.826649,0.997975,0.481166,13.993195,-51.826649,1224.170166,970.143555,-0.006058,1.620312,1.800898,1.973486,2.388831,3.145148,3.988091,4.504732,5.344052,6.394322,8.895956,11.540367,13.402383,15.7724,17.992258,19.78508,21.225071,22.256832,40.628761,59.899105,78.86348,100,112.954567,134.000244,160.335403,223.062988,289.370667,336.060059,395.487427,451.149597,496.103943,532.211243,558.082275,1224.170166,970.143555,-0.006058,1.636695,1.764175,1.906531,2.315285,3.067422,3.877841,4.387534,5.212657,6.243646,8.719569,11.361038,13.229156,15.531832,17.768742,19.549398,20.964485,21.809412,42.206356,59.705524,79.10128,100,113.143745,134.421646,161.008316,224.856308,292.973328,341.147491,400.527863,458.21228,504.131073,540.622681,562.411255,1224.170166,970.143555,-0.006058,1.610082,1.758497,1.462749,2.130126,2.833786,3.604131,4.088181,4.872319,5.873213,8.225547,10.803494,12.640079,14.896259,16.989799,18.798687,20.20023,21.150309,40.585358,59.102352,78.626076,100,113.43045,135.187088,162.957825,228.225571,299.753143,350.710907,413.31076,471.39801,521.58728,560.474426,586.835266,1224.170166,970.143555,-0.006058,1.602519,1.755654,1.454094,2.119029,2.810006,3.573207,4.033527,4.820218,5.788892,8.123378,10.661268,12.474285,14.745697,16.866848,18.632643,20.042797,20.788174,40.69437,59.303295,78.641014,100,112.882568,134.898956,162.008316,227.341385,298.366974,349.106171,412.674042,472.036743,521.454407,560.919067,581.779175,1224.170166,970.143555,-0.006058,1.586461,1.723072,1.450294,2.097296,2.767959,3.521319,3.984694,4.76313,5.714797,8.02729,10.53678,12.35789,14.593813,16.759275,18.47114,19.861904,20.704184,41.186119,59.559948,78.605759,100,113.159142,135.265518,162.291367,227.962616,299.228271,350.944946,414.441681,475.937469,524.551758,564.047363,587.966797,0.094926,0.132687,0.169524,0.206751,0.231626,0.258986,0.29866,0.385341,0.443956,0.466908,0.515157,0.563946,0.583552,0.59981,0.671876,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270502HL950M,PASS,0,,Machine04A_golden,,10/8/2016 18:23,10/8/2016 18:23,7.069,Version 16.8.10.12,LS,CAS140,20363270502HL9502112651134764154081693776743,193.65693,31.159778,-45.780407,24.115026,22.857838,31.159778,-92.770721,30.643401,-33.387357,24.461725,21.637911,20.31586,-74.697523,13.942181,-34.080887,0.450385,0.440664,13.942181,-51.637708,1254.25708,975.773438,-0.003184,1.581511,1.714862,1.858569,2.266925,3.025277,3.853774,4.375425,5.234879,6.286401,8.766193,11.421958,13.306289,15.645885,17.848455,19.647068,21.112312,22.010885,41.037975,58.823498,78.501656,100,113.53611,135.837708,163.12323,227.470322,296.383667,345.279419,405.988647,463.142212,509.813629,547.834656,571.151428,1254.25708,975.773438,-0.003184,1.624926,1.749612,1.893553,2.291999,3.047624,3.909673,4.428976,5.292209,6.353654,8.848527,11.546551,13.419893,15.701843,17.973173,19.720112,21.216009,22.009275,41.56168,58.623814,77.950874,100,113.282501,135.361938,162.511139,226.323959,295.332916,343.248474,401.615234,459.710419,504.392853,542.654297,562.944153,1254.25708,975.773438,-0.003184,1.617757,1.760091,1.479947,2.121047,2.841076,3.625273,4.118282,4.940484,5.971432,8.350686,10.990816,12.811182,15.081188,17.221397,18.997976,20.461727,21.344599,40.823044,58.507229,78.368614,100,113.59922,136.278931,164.716751,230.34639,303.172089,353.385284,416.001404,475.037231,524.042603,564.418884,588.772156,1254.25708,975.773438,-0.003184,1.690472,1.807894,1.580915,2.190259,2.931475,3.724559,4.211674,5.051151,6.071479,8.470599,11.112902,12.950666,15.287612,17.449602,19.266703,20.660269,21.61202,42.445698,58.805855,78.706635,100,113.078438,135.617416,163.012009,227.425552,298.368225,347.710022,410.454285,468.501129,517.288086,554.703735,580.257141,1254.25708,975.773438,-0.003184,1.570576,1.6871,1.464826,2.051584,2.747684,3.526847,4.001787,4.807967,5.790073,8.141691,10.688776,12.525022,14.796498,16.963537,18.700989,20.1413,20.997107,41.533585,58.170479,77.907661,100,113.466438,136.324799,164.171402,230.84903,303.068909,355.133728,419.539032,480.983124,530.246704,571.085205,595.350708,0.070108,0.100095,0.125912,0.157996,0.1772,0.201398,0.230401,0.292689,0.343013,0.365301,0.38165,0.422162,0.430843,0.448633,0.437336,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270570HL9502,PASS,0,,Machine04A_golden,,10/8/2016 18:23,10/8/2016 18:23,7.074,Version 16.8.10.12,LS,CAS140,20363270570HL9502112651140783160080716802743,191.670506,32.519084,-48.348861,25.926287,25.177803,32.519084,-91.652341,31.475627,-36.349101,25.511541,24.950991,27.301798,-69.218008,14.086674,-43.30348,0.474686,0.785743,14.086674,-52.172868,1165.200684,954.658997,-0.010124,1.509292,1.641984,1.781709,2.180662,2.898948,3.713876,4.21845,5.035225,6.064126,8.503196,11.111982,12.94471,15.227224,17.464401,19.175329,20.635967,21.496479,40.639278,58.716614,78.05722,100,113.586197,135.578735,163.282959,228.957489,299.201813,348.549927,410.009003,470.247375,516.315918,555.645081,578.815247,1165.200684,954.658997,-0.010124,1.442237,1.588372,1.735688,2.122442,2.825693,3.614763,4.098988,4.916978,5.909178,8.31452,10.916461,12.750299,14.955484,17.184536,18.905422,20.310524,21.24538,39.898514,58.715927,78.170921,100,113.395752,136.024918,163.473465,230.01564,301.996613,352.728516,413.73349,475.398743,523.005859,561.877136,587.739258,1165.200684,954.658997,-0.010124,1.540563,1.690249,1.39373,2.055773,2.744779,3.498511,3.98103,4.770061,5.765633,8.093508,10.668921,12.492175,14.711491,16.872761,18.594448,19.984674,21.022963,39.837803,58.761364,78.455635,100,113.79213,136.345459,164.802475,231.341507,304.956055,357.071198,420.507202,482.284058,531.496033,571.233704,600.911743,1165.200684,954.658997,-0.010124,1.590247,1.726114,1.458763,2.102713,2.790391,3.56741,4.039223,4.84334,5.819862,8.178816,10.746146,12.560893,14.846435,16.984785,18.74712,20.12599,21.28297,40.891369,58.942299,78.218979,100,113.225647,135.766296,163.139709,229.264832,301.231049,352.101196,416.168457,476.109741,525.510681,564.162537,596.594543,1165.200684,954.658997,-0.010124,1.482989,1.623007,1.347426,1.97849,2.62006,3.36505,3.818429,4.576756,5.518721,7.808469,10.272876,12.028204,14.267191,16.410372,18.09108,19.463388,20.380001,40.041782,58.79525,77.860954,100,113.473152,136.00856,164.001144,232.046158,305.281525,357.445038,423.981537,487.670959,537.616943,578.398193,605.637329,0.062044,0.075862,0.103784,0.130568,0.147911,0.171445,0.200733,0.258877,0.313349,0.343333,0.353751,0.391287,0.403809,0.433228,0.42869,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363271644HL9503,PASS,0,,Machine04A_golden,,10/8/2016 18:23,10/8/2016 18:24,7.075,Version 16.8.10.12,LS,CAS140,20363271644HL9502111651133774160079684806743,180.74448,32.784138,-71.230103,21.168085,21.936007,24.48513,-91.700991,23.931863,-41.906939,21.793438,16.805183,14.526319,-70.123569,13.278414,-54.22019,0.90887,0.142568,14.938216,-55.326724,1452.861816,985.531311,0.00489,1.569274,1.701823,1.844986,2.243839,2.992474,3.830561,4.350299,5.200627,6.244827,8.719177,11.369589,13.239807,15.608506,17.776192,19.536459,20.997297,21.933403,40.967213,58.577301,78.121033,100,113.568199,135.766739,163.026428,227.621414,296.812622,345.636261,407.473145,464.062347,510.015625,548.152039,572.589844,1452.861816,985.531311,0.00489,1.476106,1.601121,1.733628,2.109263,2.832376,3.649156,4.15475,4.970618,5.998903,8.410379,11.044847,12.898616,15.180411,17.420055,19.137608,20.625719,21.335602,40.450615,57.801384,77.617287,100,113.855087,136.212784,164.39151,230.474609,302.668518,353.468445,415.997833,477.372131,524.439209,565.218811,584.67218,1452.861816,985.531311,0.00489,1.634808,1.764429,1.516677,2.140904,2.858255,3.673469,4.171322,4.975316,6.000812,8.418127,11.047842,12.901056,15.148862,17.361105,19.103317,20.515398,21.268532,41.287315,58.280182,77.808067,100,113.552681,135.439163,163.355453,229.160141,300.746857,351.195465,412.385712,472.60791,520.03479,558.474792,578.976746,1452.861816,985.531311,0.00489,1.469434,1.604193,1.345276,1.946943,2.610282,3.36842,3.828347,4.594416,5.56424,7.833694,10.362139,12.140442,14.351069,16.411398,18.137411,19.53491,20.314615,39.937897,57.799889,77.492783,100,113.654099,136.39679,165.188461,232.562881,307.626129,360.419525,426.047577,487.213562,538.454651,579.942871,603.090393,1452.861816,985.531311,0.00489,1.369973,1.482941,1.267545,1.819314,2.459862,3.195926,3.648063,4.399154,5.334455,7.584011,10.036283,11.799959,14.032909,16.142029,17.7908,19.270908,19.977741,39.66127,56.926048,76.968674,100,114.147278,137.648804,166.91423,237.302475,314.033661,369.218811,439.087433,505.081451,556.671265,602.983582,625.10022,0.124982,0.1682,0.212719,0.255891,0.284897,0.323791,0.369449,0.467645,0.551569,0.60007,0.649877,0.705236,0.739683,0.745206,0.800774,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
